a		Nc, Ng, Vit, I, E
tã		Nc, Ng, Aa
tã lót		Nc, Ng
tá		Na, Vt, I
tá dược		Nc, Ng
tá điền		Nc, Ng
tá hoả		Vit
tá lả		Na
tá tràng		Nc, Ng
tá túc		Vit
tạ		Na, Vt
tạ sự		Vt
tạ thế		Vit
tạ từ		Vt
tabu		Np
tác		Na, Vit
tác chiến		Vit
tác dụng		Na, Vt
tác động		Na, Vt
tác gia		Nc, Ng
tác giả		Nc, Ng
tác hại		Na, Vit
tác hợp		Vt
tác nghiệp		Vit
tác nhân		Na
tác oai tác quái		Vit
tác phẩm		Nc, Ng
tác phong		Na
tác quyền		Na
tác thành		Vt
tạc		Vt
tạc đạn		Nc, Ng
tách		Na, Vt
tách bạch		Vt, Aa
tách biệt		Vt, Aa
taekwondo		Np
tai		Nc, Ng, Vt
tai ác		Aa
tai ách		Na
tai bay vạ gió		Np
tai biến		Na
tai chua		Nc, Ng
tai-ga		Np
tai hại		Na, Aa
tai hoạ		Na
tai hồng		Nc, Ng
tai mắt		Nc, Ng
tai nạn		Na
tai ngược		Aa
tai quái		Aa
tai tiếng		Na
tai to mặt lớn		Vit
tai ương		Na
tai vạ		Na
tai vách mạch rừng		X
tài		Na, Aa
tài ba		Na, Aa
tài bàn		Na
tài bồi		Vt
tài cán		Na, Aa
tài chính		Na
tài chủ		Na
tài danh		Na
tài đức		Na
tài giảm		Vt
tài giỏi		Aa
tài hoa		Aa
tài khoá		Na
tài khoản		Na
tài khoản kí quỹ		Na
tài khoản ký quỹ		Na
tài khoản vãng lai		Na
tài liệu		Nc, Ng
tài lực		Na
tài nào mà chẳng		X
tài năng		Na
tài nghệ		Na
tài nguyên		Nc, Ng
tài phán		Vit
tài phiệt		Na
tài sản		Nc, Ng
tài sản cố định		Nc, Ng
tài sản lưu động		Nc, Ng
tài sắc		Aa
tài tình		Aa
tài trí		Na
tài trợ		Vt
tài tử		Na, Aa
tài vụ		Na
tài xế		Nc, Ng
tải		Na, Vt
tải điện		Vit
tải thương		Vit
tải trọng		Na
tãi		Vt
tái		Aa
tái bản		Vit
tái bút		Vit
tái chế		Vt
tái cử		Vit
tái diễn		Vit
tái đăng		Vit
tái giá		Vit
tái giảng		Vit
tái hiện		Vt
tái hồi		Vit
tái hợp		Vit
tái lập		Vt
tái mét		Aa
tái ngắt		Aa
tái ngộ		Vit
tái ngũ		Vit
tái nhập		Vt
tái nhiễm		Vit
tái nhợt		Aa
tái phạm		Vt
tái phát		Vit
tái sản xuất		Vit
tái sinh		Vit
tái tạo		Vt
tái tê		Aa
tái thẩm		Vit
tái thế		Vit
tái thiết		Vt
tái vũ trang		Vit
tái xanh		Aa
tái xuất		Vit
tại		Cm
tại chỗ		Aa
tại chức		Aa
tại gia		Aa
tại ngoại		Aa
tại ngoại hậu cứu		Aa
tại ngũ		Aa
tại trận		Aa
taiga		Np
taka		Np
tala		Np
tam		Na
tam bản		Nc, Ng
tam bành		Vit
tam bảo		Nc, Ng
tam cấp		Nc, Ng
tam cúc		Nc, Ng
tam cương		Nc, Ng
tam đại		Na, Aa
tam đoạn luận		Na
tam giác		Nc, Ng
tam giác cân		Nc, Ng
tam giác cầu		Nc, Ng
tam giác đều		Nc, Ng
tam giác vuông		Nc, Ng
tam giáo		Nc, Ng
tam giáp		Na
tam hợp		Na
tam khoanh tứ đốm		X
tam khôi		Na
tam nguyên		Na
tam quan		Na
tam quyền phân lập		Na
tam sao thất bản		Aa
tam sinh		Na
tam suất		Na
tam tài		Nc, Ng
tam tam chế		Na
Tam Tạng		Np
tam tấu		Na, Vit
tam thất		Nc, Ng
tam thể		Nc, Ng
tam thừa		Na
tam thức		Na
tam toạng		Aa
tam tòng		Na
tam trường		Na
tàm tạm		Aa
tám		Nn
tám đời		X
tám hoánh		Na
tám mươi		Nn
tám thơm		Nc, Ng
tám xoan		Nc, Ng
tạm		Aa
tạm biệt		Vt
tạm bợ		Aa
tạm quyền		Vt
tạm thời		Aa
tạm trú		Vit
tạm tuyển		Vit
tạm ứng		Vt
tạm ước		Na
tan		Vit
tan cửa nát nhà		X
tan hoang		Aa
tan nát		Aa
tan rã		Vit
tan tác		Aa
tan tành		Aa
tan tầm		Vit
tan vỡ		Vit
tan xương nát thịt		Vit
tàn		Na, Vit
tàn ác		Aa
tàn bạo		Aa
tàn binh		Nc, Ng
tàn canh		Vit
tàn dư		Na
tàn hại		Vit
tàn hương		Na
tàn khốc		Aa
tàn lụi		Vit
tàn ngược		Aa
tàn nhang		Nc, Ng
tàn nhẫn		Aa
tàn phá		Vt
tàn phế		Aa
tàn quân		Nc, Ng
tàn sát		Vt
tàn tạ		Vit
tàn tán		Na
tàn tật		Aa
tàn tệ		Aa
tàn tích		Na
tản		Na, Vit
tản bộ		Vit
tản cư		Vit
tản mác		Vit, Aa
tản mạn		Aa
tản mát		Vit, Aa
tản thực vật		Nc, Ng
tản văn		Nc, Ng
tán		Na, Vt
tán dóc		Vit
tán dương		Vt
tán đồng		Vt
tán gẫu		Vit
tán hươu tán vượn		X
tán loạn		Vit
tán phát		Vt
tán phễu		Vit
tán phiệu		Vit
tán sắc		Vit
tán thành		Vt
tán thưởng		Vt
tán tỉnh		Vit
tán tụng		Vt
tán xạ		Vit
tananh		Np
TAND		Np
tang		Na
tang bồng		Na
tang bồng hồ thỉ		Na
tang chế		Na
tang chủ		Nc, Ng
tang chứng		Nc, Ng
tang gia		Na
tang gia bối rối		X
tang lễ		Na
tang phục		Nc, Ng
tang sự		Na
tang tảng sáng		Aa
tang thương		Na, Aa
tang tích		Na
tang tóc		Aa
tang vật		Nc, Ng
tàng		Aa
tàng hình		Vit
tàng tàng		Aa
tàng tàng		Aa
tàng trữ		Vt
tảng		Na, Vit
tảng lờ		Vit
tảng sáng		Aa
táng		Vit, Vt
táng đởm		Vit
táng đởm kinh hồn		Vit
táng tận lương tâm		Vit
tạng		Na
tạng phủ		Nc, Ng
tango		Np
tanh		Aa, Jd
tanh banh		Aa
tanh bành		Aa
tanh hôi		Aa
tanh tao		Aa
tanh tưởi		Aa
tánh		Na
tạnh		Vit
tạnh ráo		Aa
tannin		Np
tao		Na, Pp
tao đàn		Na
tao khang		Na
tao loạn		Vit
tao ngộ		Vit
tao ngộ chiến		Vit
tao nhã		Aa
tao nhân mặc khách		Np
tao phùng		Vit
tao tác		Aa
tào lao		Aa
tào phở		Nc, Ng
tảo		Na, Vt
tảo hôn		Vit
tảo mộ		Vit
tảo tần		Vit
tảo thanh		Vit
tảo trừ		Vt
táo		Nc, Ng, Aa
táo bạo		Aa
táo bón		Aa
táo gan		Aa
táo quân		Nc, Ng
táo ta		Nc, Ng
táo tác		Aa
táo tàu		Nc, Ng
táo tây		Nc, Ng
táo tợn		Aa
tạo		Na, Vt
tạo dựng		Vt
tạo hình		Vit
tạo hoá		Na
tạo lập		Vt
tạo tác		Vt
tạo vật		Na
táp		Na, Vt
táp nham		Aa
tạp		Aa
tạp ăn		Vit
tạp âm		Na
tạp chất		Nc, Ng
tạp chí		Nc, Ng
tạp chủng		Nc, Ng
tạp dề		Nc, Ng
tạp dịch		Na
tạp giao		Vit
tạp hoá		Nc, Ng
tạp hôn		Na
tạp kĩ		Nc, Ng
tạp kỹ		Nc, Ng
tạp nham		Aa
tạp nhạp		Aa
tạp phẩm		Nc, Ng
tạp văn		Nc, Ng
tạp vụ		Nc, Ng
tarô		Np, Vit
tát		Nc, Ng, Vt
tát tai		Vit
tạt		Vt
tatăng		Np
tau		Na, Aa
tàu		Nc, Ng, Nu, Np
tàu bay		Nc, Ng
tàu bè		Nc, Ng
tàu biển		Nc, Ng
tàu bò		Nc, Ng
tàu chậm		Nc, Ng
tàu chiến		Nc, Ng
tàu chở máy bay		Nc, Ng
tàu chợ		Nc, Ng
tàu con thoi		Nc, Ng
tàu cuốc		Nc, Ng
tàu điện		Nc, Ng
tàu điện ngầm		Nc, Ng
tàu đổ bộ		Nc, Ng
tàu há mồm		Nc, Ng
tàu hoả		Nc, Ng
tàu khu trục		Nc, Ng
tàu lặn		Nc, Ng
tàu ngầm		Nc, Ng
tàu nhanh		Nc, Ng
tàu ô		Na
tàu sân bay		Nc, Ng
tàu suốt		Na
tàu tàu		Aa
tàu thuỷ		Nc, Ng
tàu thuyền		Nc, Ng
tàu tốc hành		Nc, Ng
tàu tuần dương		Nc, Ng
tàu tuần tiễu		Nc, Ng
tàu vét		Nc, Ng
tàu vũ trụ		Nc, Ng
táu		Nc, Ng
taxi		Nc, Ng
tay		Nc, Ng
tay áo		Nc, Ng
tay ấn		Na
tay ba		Na
tay bắt mặt mừng		X
tay cầm		Nc, Ng
tay chân		Nc, Ng
tay chơi		Nc, Ng
tay đẫy		Nc, Ng
tay đôi		Na
tay hòm chìa khoá		X
tay lái		Nc, Ng
tay làm hàm nhai		X
tay mặt		Nc, Ng
tay nải		Nc, Ng
tay ngang		Na
tay nghề		Na
tay phải		Nc
tay quay		Nc 
tay sai		Nc, Ng
tay thước		Nc, Ng
tay trái		Nc, Na
tay trắng		Na
tay trong		Na
tay vịn		Nc, Ng
tay xách nách mang		X
tày		Vtc, Aa
tày đình		Aa
tày liếp		Na
tày trời		Aa
táy máy		Vit
tắc		Vt
tắc họng		Vit
tắc kè		Nc, Ng
tắc lưỡi		Vit
tắc nghẽn		Vit, Vt
tắc ráng		Nc, Ng
tắc-te		Nc, Ng
tắc tị		Vit
tắc trách		Aa
tắc-xi		Nc, Ng
tặc lưỡi		Vit
tăcte		Np
tăcxi		Np
tăm		Nc, Ng, Vt
tăm dạng		Na
tăm hơi		Na
tăm tắp		Jd
tăm tích		Na
tăm tiếng		Na
tăm tối		Aa
tằm		Nc, Ng
tằm tang		Nc, Ng
tằm tơ		Nc, Ng
tắm		Vit
tắm giặt		Vit
tắm gội		Vit
tắm rửa		Vit
tắm táp		Vit
tằn tiện		Vit
tẳn mẳn		Na
tăng		Na, Vtc
tăng âm		Vit
tăng bo		Vit
tăng cường		Vt
tăng đồ		Nc, Ng
tăng gia		Vit
tăng gia sản xuất		Vit
tăng giá		Vt
tăng-gô		Nc, Ng
tăng lữ		Nc, Ng
tăng ni		Nc, Ng
tăng sản		Vit
tăng sê		Na
tăng tả		Aa
tăng tiến		Vit
tăng tốc		Vit
tăng trọng		Vit
tăng trưởng		Vit
tăng viện		Vit
tằng hắng		Vit
tằng tịu		Vit
tằng tổ		Nc, Ng
tặng		Vt
tặng phẩm		Nc, Ng
tặng thưởng		Vt
tặng vật		Nc, Ng
tăngbo		Vit
tănggô		Nc, Ng
tăngsê		Np
tắp		Vit, Jd
tắp lự		Jd
tắt		Vt, Aa
tắt hơi		Vit
tắt kinh		Vit
tắt lửa tối đèn		X
tắt mắt		Vit
tắt ngấm		Vit
tắt ngấm tắt ngầm		Vit
tắt nghỉ		Vit
tắt ngóm		Vit
tắt thở		Vit
tấc		Na
tấc gang		Nc, Ng
tâm		Na
tâm bão		Nc, Ng
tâm bệnh		Na
tâm can		Na
tâm đắc		Vt
tâm đầu ý hợp		Aa
tâm địa		Na
tâm đối xứng		Nc, Ng
tâm giao		Aa
tâm hồn		Na
tâm huyết		Na, Aa
tâm khảm		Na
tâm lí		Na, Aa
tâm lí chiến		Na
tâm lí học		Na
tâm linh		Na
tâm lực		Na
tâm lý		Na
tâm não		Na
tâm ngẩm		Aa
tâm nhĩ		Nc, Ng
tâm niệm		Vt
tâm phúc		Aa
tâm phục		Vit
tâm phục khẩu phục		Vit
tâm sinh lí		Aa
tâm sinh lý		Aa
tâm sự		Na, Vit
tâm sức		Na
tâm thần		Na
tâm thất		Nc, Ng
tâm thuật		Na
tâm thư		Na
tâm thức		Na
tâm tình		Na, Vit, Aa
tâm tính		Na
tâm trạng		Na
tâm trí		Na
tâm tư		Na
tâm tưởng		Na
tầm		Na, Vt
tầm bậy		Aa
tầm chương trích cú		Vit
tầm cỡ		Na
tầm gửi		Nc, Ng
tầm mắt		Na
tầm mức		Na
tầm nã		Vt
tầm nhìn xa		Na
tầm phào		Aa
tầm phơ		Aa
tầm quất		Vit
tầm sét		Na
tầm súng		Na
tầm sư học đạo		X
tầm tã		Aa
tầm tầm		Na, Aa
tầm tầm		Na, An
tầm thước		An
tầm thường		Aa
tầm vóc		Na
tầm vông		Nc, Ng
tầm xích		Nc, Ng
tầm xuân		Nc, Ng
tẩm		Vt, Aa
tẩm bổ		Vit
tẩm ngẩm		Aa
tẩm quất		Vit
tấm		Na
tấm bé		Na
tấm lợp		Nc, Ng
tấm tắc		Vt
tấm tức		Vit
tậm tịt		Aa
tân		Na, Aa
tân binh		Nc, Ng
tân dược		Nc, Ng
tân gia		Nc, Ng
tân học		Na
tân hôn		Na
tân khách		Nc, Ng
tân khoa		Na
tân khổ		Aa
tân kì		Aa
tân kỳ		Aa
tân lang		Nc, Ng
tân ngữ		Na
tân sinh		Na
tân tạo		Vt
tân thời		Aa
tân tiến		Aa
tân toan		Aa
tân trang		Vit
Tân Ước		Np
tân văn		Na
tần		Vt
tần mần		Vt
tần mần		Aa
tần ngần		Vit
tần phiền		Vt
tần số		Na
tần suất		Na
tần tảo		Vit
tần tiện		Vit
tẩn		Vt
tẩn mẩn		Aa
tấn		Na, Vt
tấn công		Vt
tấn phong		Vt
tấn sĩ		Na
tấn tới		Vit
tận		Aa, Cm
tận cùng		Vit, Aa
tận diệt		Vt
tận dụng		Vt
tận hưởng		Vta
tận lực		Aa
tận mắt		Aa
tận số		Aa
tận tay		Aa
tận tâm		Aa
tận thế		Aa
tận thu		Vt
tận tình		Aa
tận tuỵ		Aa
tận từ		Aa
tâng		Vt
tâng bốc		Vt
tâng công		Vit
tâng hẩng		Vit
tâng tâng		Aa
tầng		Na
tầng lớp		Na
tầng ozon		Nc, Ng
tấp		Vit
tấp nập		Aa
tấp tểnh		Vt
tập		Na, Vt
tập ấm		Vit
tập dượt		Vt
tập đại thành		Na, Vit
tập đoàn		Nc, Ng, Aa
tập đoàn cứ điểm		Nc, Ng
tập đoàn quân		Nc, Ng
tập hậu		Vit
tập hợp		Nc, Ng, Vt
tập hợp con		Nc, Ng
tập huấn		Vt
tập kết		Vit
tập kích		Vit
tập luyện		Vt
tập nhiễm		Vt
tập quán		Na
tập quyền		Vit
tập san		Nc, Ng
tập sự		Vit
tập tàng		Aa
tập tành		Vit
tập tễnh		Aa
tập thể		Nc, Ng, Aa
tập thể dục		Vit
tập thể hoá		Vt
tập tính		Na
tập tọng		Aa
tập trận		Vit
tập trung		Vt
tập trung dân chủ		Na
tập trung tư bản		Vit
tập tục		Na
tập vở		Nc, Ng
tất		Nc, Ng, Pn, Ja
tất bật		Aa
tất cả		Pn
tất nhiên		Aa
tất niên		Na
tất ta tất tưởi		Aa
tất tả		Aa
tất tần tật		Pn
tất tật		Pn
tất thảy		Pn
tất thắng		Vit
tất tưởi		Aa
tất yếu		Aa
tật		Na
tật bệnh		Na
tật nguyền		Na, Aa
tâu		Vt
tâu bày		Vt
tầu		Nc, Ng, Aa
tầu bay		Nc, Ng
tẩu		Nc, Ng, Vit
tẩu cẩu		Na
tẩu mã		Na
tẩu tán		Vit
tẩu thoát		Vit
tấu		Na, Vt
tậu		Vt
tây		Na, Aa
tây học		Na
tây riêng		Aa
tây vị		Vt
tây y		Na
tầy		Vtc, Aa
tầy đình		Aa
tầy trời		Aa
tẩy		Nc, Ng, Vt
tẩy chay		Vt
tẩy não		Vit
tẩy oan		Vit
tẩy rửa		Vt
tẩy rửa tiền		X
tẩy trang		Vit
tẩy trần		Vit
tẩy trừ		Vt
tẩy uế		Vit
tẩy xoá		Vit
tấy		Vit
TB		X
T.B.		X
TDTT		Np
tđd		X
te		Na, Vt, Aa
te tái		Aa
te te		Vit, Aa
te tua		Aa
tè		Vit, Aa
tè he		Aa
tẻ		Na, Aa
tẻ ngắt		Aa
tẻ nhạt		Aa
tẽ		Vt
té		Vt, Vit
té nước theo mưa		X
té ra		X
té re		Vit
té tát		Aa
téc		Nc, Ng
Tel		X
telephon		Np, Vit
teletyp		Np
telex		Np
tem		Nc, Ng
tem thư		Nc, Ng
tèm lem		Aa
tèm nhèm		Aa
tém		Vt
ten		Na, Vit
ten nít		Nc, Ng
tẽn		Aa
tẽn tò		Aa
tenge		Np
tennis		Np
tennit		Np
teo		Vitb
teo tóp		Aa
tẻo teo		An
tẻo tèo teo		An
téo		Na
tẹo		Na
tép		Nc, Ng, Nu, Aa
tép riu		Nc, Ng
tẹp nhẹp		Aa
ter		Aa
test		Np
tét		Vt
tẹt		Aa
tetanos		Np
tetracyclin		Np
tetraxiclin		Np
tê		Na, Pd, Aa
tê dại		Aa
tê giác		Nc, Ng
tê-lê-phon		Nc, Ng, Vit
tê-lê-típ		Np
tê-lếc		Np
tê liệt		Aa
tê mê		Aa
tê ngưu		Nc, Ng
tê ta nốt		Nc, Ng
tê tái		Aa
tê tê		Nc, Ng
tê thấp		Na
tề		Na, Pd, Vt
tề chỉnh		Aa
tề điệp		Nc, Ng
tề gia		Vit
tề gia nội trợ		Vit
tề nguỵ		Nc, Ng
tề tựu		Vit
tể tướng		Nc, Ng
tễ		Na
tế		Na, Vt
tế bào		Na
tế bần		Vit
tế độ		Vit
tế lễ		Vit
tế nhị		Aa
tế nhuyễn		Nc, Ng
tế tự		Vt
tế tửu		Na
tế vi		Aa
tệ		Na, Aa, Jd
tệ bạc		Aa
tệ đoan		Na
tệ hại		Na, Aa, Jd
tệ lậu		Na
tệ nạn		Na
tệ tục		Na
tệ xá		Nc, Ng
tếch		Na, Vit
têm		Vt
tên		Nc, Ng
tên chữ		Nc, Ng
tên cúng cơm		Nc, Ng
tên hèm		Nc, Ng
tên hiệu		Nc, Ng
tên huý		Nc, Ng
tên lửa		Nc, Ng
tên lửa đạn đạo		Nc, Ng
tên lửa vũ trụ		Nc, Ng
tên riêng		Nc, Ng
tên rơi đạn lạc		X
tên thánh		Nc, Ng
tên thuỵ		Nc, Ng
tên tục		Nc, Ng
tên tuổi		Nc, Ng
tên tự		Nc, Ng
tênh		Jd
tênh hênh		Aa
tênh tênh		Aa
tềnh toàng		Aa
tệp		Nc, Ng
tết		Na, Vt
Tết dương lịch		Na
tết nhất		Na
Tết ta		Na
Tết tây		Na
têtanôt		Np
tếu		Aa
tếu táo		Aa
tha		Vt
tha bổng		Vit
tha hoá		Vit
tha hồ		Jd
tha hương		Na
tha ma		Na
tha phương		Na
tha phương cầu thực		Vit
tha thẩn		Aa
tha thiết		Aa
tha thủi		Aa
tha thứ		Vt
tha thướt		Aa
thà		Cc
thà là		Cc
thà rằng		Cc
thả		Vt
thả bộ		Vit
thả con săn sắt bắt con cá rô		X
thả con săn sắt bắt con cá sộp		X
thả cửa		Aa
thả hổ về rừng		X
thả lỏng		Vit
thả mồi bắt bóng		X
thả nổi		Vt
thả sức		Aa
thá		Na
thác		Nc, Ng, Vt, Vit
thác loạn		Aa
thạc sĩ		Na
thách		Vt
thách		Vt, Aa
thách cưới		Vit
thách đố		Vt
thách thức		Nc, Ng, Vit
thạch		Na
thạch anh		Na
thạch bàn		Na
thạch bản		Na
thạch cao		Nc, Ng
thạch học		Na
thạch lựu		Nc, Ng
thạch nhũ		Na
thạch quyển		Na
thạch sùng		Nc, Ng
thạch tín		Nc, Ng
thạch xương bồ		Nc, Ng
thai		Nc, Ng
thai nghén		Vit
thai nhi		Nc, Ng
thai phụ		Nc, Ng
thai sản		Vit
thai sinh		Vit
thài lài		Nc, Ng
thải		Vt
thải hồi		Vt
thải loại		Vt
thải trừ		Vt
thái		Vt, Aa
thái ấp		Nc, Ng
thái bình		Aa
thái cổ		Aa
thái cực		Na
thái cực quyền		Na
thái dương		Na
thái dương		Na
Thái Dương Hệ		Na
thái độ		Nc, Ng
thái giám		Nc, Ng
thái hậu		Nc, Ng
thái hoà		Aa
thái miếu		Nc, Ng
thái quá		Jd
thái sư		Nc, Ng
thái thú		Nc, Ng
thái thượng hoàng		Nc, Ng
thái tử		Nc, Ng
thái uý		Nc, Ng
thái y		Nc, Ng
tham		Na, Vt
tham bác		Vit
tham biện		Nc, Ng
tham chiến		Vit
tham chính		Vit
tham công tiếc việc		Vit
tham dự		Vt
tham đó bỏ đăng		X
tham gia		Vt
tham khảo		Vt
tham lam		Aa
tham luận		Nc, Ng, Vit
tham mưu		Vit
tham mưu trưởng		Nc, Ng
tham nghị		Nc, Ng, Vit
tham nhũng		Vit
tham ô		Vt
tham quan		Vit
tham quan ô lại		Np
tham quyền cố vị		Vit
tham sinh uý tử		Vit
tham số		Na
tham tá		Nc, Ng
tham tàn		Aa
tham tán		Nc, Ng
tham tán công sứ		Nc, Ng
tham tri		Nc, Ng
tham tụng		Na
tham vấn		Vit
tham vọng		Nc, Ng
thảm		Na, Aa
thảm bại		Na, Vit
thảm cảnh		Na
thảm đạm		Aa
thảm hại		Aa
thảm hoạ		Na
thảm khốc		Aa
thảm kịch		Na
thảm sát		Vt
thảm sầu		Aa
thảm thê		Aa
thảm thiết		Aa
thảm thực vật		Nc, Ng
thảm thương		Aa
thảm trạng		Na
thám báo		Nc, Ng
thám hiểm		Vt
thám hoa		Na
thám sát		Vt
thám thính		Vt
thám tử		Nc, Ng
than		Nc, Ng, Vt
than béo		Nc, Ng
than bùn		Nc, Ng
than cám		Nc, Ng
than chì		Nc, Ng
than cốc		Nc, Ng
than củ		Nc, Ng
than đá		Nc, Ng
than gầy		Nc, Ng
than khóc		Vit
than luyện		Nc, Ng
than luyện cốc		Nc, Ng
than mỏ		Nc, Ng
than mỡ		Nc, Ng
than nâu		Nc, Ng
than ôi		E
than phiền		Vit
than quả bàng		Nc, Ng
than thở		Vit
than tổ ong		Nc, Ng
than trắng		Nc, Ng
than van		Vit
than vãn		Vit
thản nhiên		Aa
thán khí		Nc, Ng
thán phục		Vt
thán từ		Na
thang		Na
thang âm		Na
thang độ		Na
thang gác		Nc, Ng
thang máy		Nc, Ng
thang nhiệt độ bách phân		Nc, Ng
thang nhiệt độ Celsius		Nc, Ng
thang nhiệt độ Fahrenheit		Nc, Ng
thảng hoặc		Jr, Cc
thảng thốt		Vit, Aa
tháng		Na
tháng âm lịch		Na
tháng ba ngày tám		X
tháng chạp		Na
tháng củ mật		Na
tháng dương lịch		Na
tháng đủ		Na
tháng giêng		Na
tháng một		Na
tháng ngày		Na
tháng thiếu		Na
thanh		Na, Aa
thanh âm		Na
thanh bạch		Aa
thanh bần		Aa
thanh bình		Aa
thanh cảnh		Aa
thanh cao		Aa
thanh danh		Na
thanh đạm		Aa
thanh điệu		Na
thanh đới		Na
thanh giằng		Na
thanh hao		Na
thanh khí		Na
thanh khiết		Aa
thanh la		Na
thanh lâu		Nc, Ng
thanh lí		Vt
thanh lịch		Aa
thanh liêm		Aa
thanh lọc		Vt
thanh long		Nc, Ng
thanh lý		Vt
thanh mai		Na
thanh mảnh		Aa
thanh minh		Na
thanh minh		Na, Vit
thanh nhã		Aa
thanh nhạc		Na
thanh nhàn		Aa
thanh niên		Nc, Ng, Aa
thanh nữ		Nc, Ng
thanh quản		Nc, Ng
thanh quang		Aa
thanh sạch		Aa
thanh sát		Vt
thanh sắc		Na
thanh tao		Aa
thanh tân		Aa
thanh thả		Aa
thanh thản		Aa
thanh thế		Nc, Ng
thanh thiên		Na
thanh thiên bạch nhật		Np
thanh thiếu niên		Nc, Ng
thanh thoả		Aa
thanh thoát		Aa
thanh tịnh		Aa
thanh toán		Vt
thanh tra		Nc, Ng, Vt
thanh trà		Nc, Ng
thanh trùng		Vit
thanh truyền		Nc, Ng
thanh trừ		Vt
thanh trừng		Vt
thanh tú		Aa
thanh vắng		Aa
thanh vận		Vit
thanh xuân		Aa
thanh yên		Nc, Ng
thành		Nc, Ng, Vtb, Aa
thành bại		Vit
thành bộ		Na
thành chung		Na
thành công		Nc, Ng, Vit
thành danh		Vit
thành đạt		Vit
thành đoàn		Nc, Ng
thành đội		Nc, Ng
thành đồng		Na
thành hình		Vit
thành hoàng		Nc, Ng
thành hội		Nc, Ng
thành hôn		Vit
thành khẩn		Aa
thành khí		Aa
thành kiến		Na, Vit
thành kính		Aa
thành lập		Vt
thành luỹ		Nc, Ng
thành ngữ		Na
thành niên		Aa
thành nội		Nc, Ng
thành phẩm		Nc, Ng
thành phần		Nc, Ng
thành phố		Nc, Ng
thành quả		Na
thành quách		Nc, Ng
thành ra		Cc
thành tạo		Vt
thành tâm		Aa
thành tấm thành món		X
thành thạo		Aa
thành thân		Vit
thành thân		Vit
thành thật		Aa
thành thị		Nc, Ng
thành thục		Aa
thành thử		Cc
thành thực		Aa
thành tích		Na
thành tích bất hảo		X
thành tố		Na
thành trì		Na
thành tựu		Na, Vit
thành uỷ		Na
thành uỷ viên		Nc, Ng
thành văn		Aa
thành viên		Nc, Ng
thành ý		Aa
thảnh thơi		Aa
thánh		Na, Aa
thánh ca		Nc, Ng
thánh chỉ		Nc, Ng
thánh địa		Nc, Ng
thánh đường		Nc, Ng
thánh giá		Na
thánh giá		Na
thánh hiền		Nc, Ng
thánh kinh		Nc, Ng
thánh mẫu		Nc, Ng
thánh nhân		Nc, Ng
thánh sống		Nc, Ng
thánh sư		Nc, Ng
thánh tha thánh thót		Aa
thánh thần		Nc, Ng
thánh thất		Nc, Ng
thánh thể		Nc, Ng
thánh thót		Aa
thánh thượng		Nc, Ng
thánh tướng		Aa
thạnh		Vit, Aa
thao		Na
thao diễn		Vt
thao láo		Aa
thao luyện		Vt
thao lược		Na, Aa
thao tác		Nc, Ng, Vt
thao thao		Aa
thao thao bất tuyệt		Aa
thao thức		Vit
thao trường		Nc, Ng
thao túng		Vt
thào		Vit
thảo		Na, Vt, Aa
thảo cầm viên		Nc, Ng
thảo dã		Aa
thảo hèn		Cc
thảo lảo		Aa
thảo luận		Vt
thảo mộc		Nc, Ng
thảo nào		Cc
thảo nguyên		Nc, Ng
thảo quả		Nc, Ng
thảo quyết minh		Nc, Ng
tháo		Vt
tháo chạy		Vit
tháo cũi sổ lồng		X
tháo dạ		Vit
tháo dỡ		Vt
tháo gỡ		Vt
tháo khoán		Vit
tháo lui		Vit
tháo thân		Vit
tháo tỏng		Vit
tháo vát		Aa
thạo		Aa
thạo đời		Aa
tháp		Nc, Ng, Vt
tháp canh		Nc, Ng
tháp ngà		Nc, Ng
tháp nước		Nc, Ng
tháp tùng		Vt
thạp		Nc, Ng
thau		Na, Vt, Vit
thau chua rửa mặn		X
thau tháu		Aa
tháu		Aa
tháu cáy		Vt
thay		Vt, E
thay da đổi thịt		X
thay đổi		Vt
thay lảy		Aa
thay lòng đổi dạ		Vit
thay mặt		Vt
thay ngựa giữa dòng		X
thay thầy đổi chủ		X
thay thế		Vt
thay vì		Vt
thày		Nc, Ng
thày lay		Vit
thảy		Pn, Vt
thắc mắc		Na, Vit
thắc thỏm		Vit
thăm		Na, Vt
thăm dò		Vt
thăm hỏi		Vt
thăm nom		Vt
thăm nuôi		Vt
thăm thẳm		An
thăm thú		Vt
thăm viếng		Vt
thẳm		An
thắm		Aa
thắm thiết		Aa
thăn		Nc, Ng
thằn lằn		Nc, Ng
thăng		Na, Vit
thăng bằng		Na, Vit, Aa
thăng bình		Aa
thăng hà		Vit
thăng hoa		Vit
thăng quan tiến chức		Vit
thăng thiên		Vit
thăng thưởng		Vit
thăng tiến		Vit
thăng trầm		Aa
thằng		Na
thằng cha		Nc, Ng
thằng thúc		Vt
thẳng		Aa
thẳng băng		Aa
thẳng cánh		Aa
thẳng cánh cò bay		X
thẳng cẳng		Aa
thẳng đuồn đuột		Aa
thẳng đuỗn		Aa
thẳng đuột		Aa
thẳng đứng		Aa
thẳng góc		Aa
thẳng ruột ngựa		Aa
thẳng tay		Aa
thẳng tắp		Aa
thẳng thắn		Aa
thẳng thớm		Aa
thẳng thừng		Aa
thẳng tính		Aa
thẳng tuồn tuột		Aa
